idviagem;taxa;datapartida;datachegada;cidade_origem;pais_origem;cidade_destino;pais_destino;nomecondutor;idadecondutor;certificacao;nomebarco;tipobarco;capacidadeteu;sexo;numerocontentares;peso
13;23037,95;21/04/2025;09/05/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Sofia Santos;50;STCW A-II/1;SS Neptuno 611;cargueiro;0;m;7;119
14;17000,5;20/07/2024;24/07/2024;Cádiz;Espanha;FigueiraDaFoz;Portugal;Rita Teixeira;38;CoC Class 2;MT Nereida 697;ro-ro;5011;m;2945;35340
15;20045,19;06/04/2025;14/04/2025;Valencia;Espanha;FigueiraDaFoz;Portugal;Raquel Pereira;45;CoC Class 1;SS Íris 4;graneleiro;0;m;6;96
16;18480,91;03/12/2024;18/12/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Gonçalo Pereira;48;Pilotage;SS Sagres 383;petroleiro;0;h;9;99
17;9098,08;06/07/2024;19/07/2024;Le Havre;França;FigueiraDaFoz;Portugal;Vítor Fernandes;53;CoC Class 2;MV Guadiana 900;container;18946;h;9463;189260
18;40957,61;04/06/2025;05/06/2025;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Miguel Martins;32;Yachtmaster;MV Gaivota 836;container;15922;h;5637;78918
19;39718,6;15/08/2025;23/08/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Pedro Nunes;59;Yachtmaster;MT Neptuno 988;cargueiro;0;h;6;120
20;43292,07;13/01/2025;18/01/2025;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Hugo Alves;52;Pilotage;NS Íris 124;petroleiro;0;h;5;80
21;16933,98;02/02/2024;18/02/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Rui Fernandes;47;STCW A-II/1;SS Açor 8;ro-ro;3745;h;2893;43395
22;44473,42;08/04/2024;20/04/2024;Cádiz;Espanha;FigueiraDaFoz;Portugal;Ricardo Ferreira;46;STCW A-II/1;MV Açor 286;petroleiro;0;h;7;119
23;38278,47;04/09/2025;19/09/2025;Génova;Itália;FigueiraDaFoz;Portugal;Henrique Oliveira;38;Pilotage;NS Açor 804;ro-ro;2790;h;954;10494
24;26613,91;05/08/2024;19/08/2024;Génova;Itália;FigueiraDaFoz;Portugal;Marta Pereira;51;STCW A-II/1;MT Neptuno 421;graneleiro;0;m;4;68
25;10884,24;15/01/2024;25/01/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Tiago Santos;37;CoC Class 2;MV Açor 197;petroleiro;0;h;7;84
26;35080,29;28/08/2024;17/09/2024;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Beatriz Marques;56;STCW A-II/2;NS Açor 896;petroleiro;0;m;9;162
27;10950;29/04/2025;06/05/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Daniela Pereira;39;STCW A-II/1;MV Atlântida 949;ro-ro;3342;m;1290;25800
28;44142,92;08/06/2025;15/06/2025;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Paulo Nunes;46;CoC Class 2;NS Poseidon 169;cargueiro;0;h;6;72
29;40379,93;10/07/2025;16/07/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Nuno Jesus;52;CoC Class 2;NS Gaivota 159;petroleiro;0;h;7;133
30;27427,77;09/07/2025;29/07/2025;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Marta Santos;54;Yachtmaster;MV Mondego 59;ro-ro;2081;m;1924;28860
31;21928,28;20/05/2025;27/05/2025;Huelva;Espanha;FigueiraDaFoz;Portugal;Helena Ribeiro;57;STCW A-II/2;MV Caravela 71;container;1806;m;1298;16874
32;26026,62;19/09/2025;02/10/2025;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Ricardo Alves;27;STCW A-II/1;SS Poseidon 635;ro-ro;809;h;359;4308
33;6873,4;10/10/2025;15/10/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Bárbara Pinto;57;Yachtmaster;MT Argonauta 686;petroleiro;0;m;8;152
34;13337,33;08/01/2025;17/01/2025;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Luís Alves;36;STCW A-II/2;NS Mondego 952;petroleiro;0;h;4;76
35;30868,65;20/01/2025;23/01/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Manuel Teixeira;61;Yachtmaster;MV Argonauta 519;container;17582;h;9870;98700
36;45505,03;03/10/2025;08/10/2025;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Diogo Ferreira;56;STCW A-II/2;MT Caravela 449;petroleiro;0;h;3;36
37;28091,76;06/02/2025;08/02/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Catarina Ribeiro;50;STCW A-II/1;MT Lusitania 962;ro-ro;5891;m;4129;66064
38;12644,24;03/09/2024;07/09/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Inês Pereira;35;Pilotage;SS Tejo 289;ro-ro;3355;m;1687;23618
39;32042,96;20/10/2024;25/10/2024;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Bruno Rodrigues;58;Pilotage;NS Tejo 928;petroleiro;0;h;4;80
40;25901,74;25/05/2025;10/06/2025;Huelva;Espanha;FigueiraDaFoz;Portugal;Paulo Jesus;40;STCW A-II/1;MT Sagres 653;container;9839;h;7769;147611
41;16971,99;08/04/2025;11/04/2025;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Manuel Carvalho;44;Pilotage;MV Lusitania 78;graneleiro;0;h;3;54
42;18084,63;06/02/2025;09/02/2025;Barcelona;Espanha;FigueiraDaFoz;Portugal;Diogo Pinto;43;Yachtmaster;NS Sagres 43;cargueiro;0;h;9;126
43;42047,8;03/05/2025;04/05/2025;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Maria Gonçalves;42;STCW A-II/2;MV Guadiana 799;cargueiro;0;m;6;66
44;27530,95;17/04/2025;05/05/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Catarina Oliveira;47;STCW A-II/2;SS Neptuno 26;cargueiro;0;m;5;65
45;33339,22;24/10/2024;27/10/2024;Le Havre;França;FigueiraDaFoz;Portugal;Teresa Martins;31;CoC Class 1;MV Atlântico 894;cargueiro;0;m;9;117
46;49816,43;11/12/2024;27/12/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Sara Rodrigues;26;CoC Class 2;MT Açor 229;petroleiro;0;m;7;119
47;44249,18;10/09/2024;22/09/2024;Vigo;Espanha;FigueiraDaFoz;Portugal;Nuno Fernandes;29;CoC Class 1;MT Guadiana 657;container;19992;h;8696;173920
48;36571,83;09/01/2024;18/01/2024;Antalya;Turquia;FigueiraDaFoz;Portugal;Daniela Fernandes;59;STCW A-II/1;MT Caravela 595;container;10374;m;4403;66045
49;20820,9;10/05/2024;30/05/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Tiago Teixeira;48;CoC Class 2;MT Neptuno 621;petroleiro;0;h;7;70
50;39481,69;19/09/2025;30/09/2025;Antalya;Turquia;FigueiraDaFoz;Portugal;Nuno Pinto;32;STCW A-II/2;MV Neptuno 2;petroleiro;0;h;4;80
51;19241,86;13/04/2024;03/05/2024;Antalya;Turquia;FigueiraDaFoz;Portugal;Diogo Marques;59;STCW A-II/1;MT Lusitania 738;petroleiro;0;h;3;48
52;1248,02;17/04/2025;20/04/2025;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Teresa Fernandes;49;CoC Class 2;SS Argonauta 431;petroleiro;0;m;7;91
53;32946,1;03/12/2024;05/12/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Vítor Pinto;59;CoC Class 1;MV Minho 294;graneleiro;0;h;8;120
54;25200,79;09/06/2024;13/06/2024;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Bárbara Teixeira;57;Pilotage;NS Íris 453;petroleiro;0;m;5;55
55;33223,03;18/05/2025;26/05/2025;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Carolina Ferreira;31;CoC Class 1;MT Atlântida 839;ro-ro;1318;m;860;9460
56;19018,07;02/02/2024;18/02/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Sara Rodrigues;36;STCW A-II/2;MV Açor 487;container;9646;m;5045;75675
57;24850,37;09/01/2025;23/01/2025;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Manuel Marques;54;Pilotage;SS Atlântico 507;ro-ro;3536;h;2104;21040
58;25629,22;09/10/2024;11/10/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Pedro Silva;45;STCW A-II/1;SS Caravela 824;graneleiro;0;h;3;51
59;25460,48;10/10/2024;25/10/2024;Antalya;Turquia;FigueiraDaFoz;Portugal;Maria Carvalho;57;STCW A-II/2;NS Sagres 821;container;8496;m;5138;66794
60;24027,28;30/05/2025;02/06/2025;Sines;Portugal;FigueiraDaFoz;Portugal;Cláudia Teixeira;41;Pilotage;NS Íris 919;ro-ro;1343;m;758;7580
61;37638,22;15/02/2024;21/02/2024;Le Havre;França;FigueiraDaFoz;Portugal;Cláudia Jesus;59;STCW A-II/2;NS Açor 282;petroleiro;0;m;9;171
62;48217,38;06/02/2024;23/02/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Hugo Martins;55;CoC Class 1;MT Atlântida 142;petroleiro;0;h;4;44
63;9305,14;25/04/2024;26/04/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Nuno Oliveira;27;Pilotage;MV Neptuno 418;cargueiro;0;h;7;98
64;11237,02;19/07/2025;22/07/2025;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Teresa Santos;48;STCW A-II/2;NS Nereida 878;graneleiro;0;m;4;44
65;16804,99;30/09/2025;10/10/2025;Cork;Irlanda;FigueiraDaFoz;Portugal;Gabriela Silva;26;CoC Class 1;NS Neptuno 552;petroleiro;0;m;5;55
66;35421,72;13/04/2024;14/04/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Filipe Martins;33;CoC Class 1;NS Nereida 399;graneleiro;0;h;5;85
67;40658,7;24/06/2024;01/07/2024;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Carolina Lopes;53;STCW A-II/2;MV Atlântico 607;ro-ro;5901;m;3470;38170
68;25574,3;11/02/2025;24/02/2025;Cork;Irlanda;FigueiraDaFoz;Portugal;Rui Marques;31;STCW A-II/2;SS Poseidon 267;graneleiro;0;h;3;54
69;35396,38;20/01/2024;21/01/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Marta Lopes;32;CoC Class 1;NS Tejo 771;petroleiro;0;m;3;45
70;19403,56;03/02/2025;17/02/2025;Algeciras;Espanha;FigueiraDaFoz;Portugal;Sofia Nunes;36;STCW A-II/1;MV Guadiana 230;ro-ro;1266;m;604;12080
71;7225,97;20/02/2024;08/03/2024;Cádiz;Espanha;FigueiraDaFoz;Portugal;João Martins;30;STCW A-II/2;SS Açor 130;container;15838;h;12281;122810
72;23405,99;20/09/2024;02/10/2024;Génova;Itália;FigueiraDaFoz;Portugal;Artur Rodrigues;29;CoC Class 2;MT Caravela 621;petroleiro;0;h;6;96
73;48507,31;15/12/2024;30/12/2024;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;André Sousa;59;STCW A-II/1;MV Minho 590;ro-ro;4464;h;3675;40425
74;20542,22;15/04/2024;04/05/2024;Santos;Brasil;FigueiraDaFoz;Portugal;Marta Ferreira;41;Yachtmaster;MV Minho 871;cargueiro;0;m;6;84
75;4962,78;26/08/2025;31/08/2025;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Artur Santos;50;CoC Class 1;NS Guadiana 71;ro-ro;216;h;96;1056
76;3851,49;06/05/2024;15/05/2024;Antalya;Turquia;FigueiraDaFoz;Portugal;Ana Marques;36;CoC Class 2;NS Guadiana 651;container;9704;m;6697;120546
77;27912,11;25/09/2025;26/09/2025;Sines;Portugal;FigueiraDaFoz;Portugal;Paulo Costa;58;Pilotage;MT Gaivota 477;ro-ro;5315;h;4487;89740
78;47788,4;13/07/2025;21/07/2025;Algeciras;Espanha;FigueiraDaFoz;Portugal;Raquel Martins;25;STCW A-II/1;NS Açor 769;petroleiro;0;m;8;112
79;36771,93;22/03/2025;27/03/2025;Sines;Portugal;FigueiraDaFoz;Portugal;Raquel Silva;46;CoC Class 2;SS Gaivota 218;petroleiro;0;m;3;36
80;6888,07;16/03/2024;01/04/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Raquel Jesus;61;Yachtmaster;MV Argonauta 88;petroleiro;0;m;3;30
81;3254,13;11/10/2024;25/10/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Gabriela Carvalho;52;STCW A-II/2;NS Íris 812;graneleiro;0;m;5;65
82;24234,52;03/04/2024;17/04/2024;Vigo;Espanha;FigueiraDaFoz;Portugal;Hugo Martins;29;CoC Class 2;MT Guadiana 485;cargueiro;0;h;5;80
83;24200,12;05/08/2024;21/08/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Teresa Carvalho;45;CoC Class 1;NS Tejo 314;petroleiro;0;m;6;120
84;31176,65;15/10/2024;20/10/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Tiago Rodrigues;47;CoC Class 1;SS Argonauta 222;container;6381;h;2877;43155
85;1749,92;09/04/2024;11/04/2024;Génova;Itália;FigueiraDaFoz;Portugal;Bárbara Ribeiro;55;Yachtmaster;MV Argonauta 304;petroleiro;0;m;3;39
86;31176,71;17/03/2025;18/03/2025;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Carolina Sousa;29;STCW A-II/1;SS Tejo 47;ro-ro;4711;m;4194;67104
87;29198,23;01/12/2024;03/12/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Beatriz Nunes;52;STCW A-II/1;MT Gaivota 491;container;1351;m;1257;23883
88;40749;14/01/2025;15/01/2025;Sines;Portugal;FigueiraDaFoz;Portugal;Carolina Santos;57;CoC Class 1;MV Atlântida 411;graneleiro;0;m;3;30
89;19919,03;02/03/2025;07/03/2025;Génova;Itália;FigueiraDaFoz;Portugal;Artur Santos;36;STCW A-II/2;MT Atlântida 255;cargueiro;0;h;9;90
90;11127,53;20/02/2025;28/02/2025;Valencia;Espanha;FigueiraDaFoz;Portugal;Catarina Teixeira;34;Yachtmaster;NS Íris 931;cargueiro;0;m;5;50
91;19485,7;11/10/2024;24/10/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Bárbara Marques;36;CoC Class 1;MV Lusitania 971;ro-ro;5826;m;3436;34360
92;17491,16;09/09/2024;28/09/2024;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Luís Ferreira;59;STCW A-II/2;SS Atlântida 161;cargueiro;0;h;7;140
93;42398,89;30/03/2024;07/04/2024;Vigo;Espanha;FigueiraDaFoz;Portugal;Cláudia Teixeira;53;CoC Class 2;MV Açor 296;petroleiro;0;m;6;114
94;34951,63;24/08/2025;26/08/2025;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Sofia Martins;31;CoC Class 1;SS Neptuno 118;ro-ro;3367;m;1640;18040
95;2920,13;17/09/2025;30/09/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Pedro Jesus;35;STCW A-II/2;MV Caravela 812;container;912;h;788;15760
96;21750,08;03/10/2024;07/10/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Cláudia Pereira;34;CoC Class 2;NS Tejo 513;petroleiro;0;m;5;65
97;19228,89;10/07/2024;13/07/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Cláudia Ferreira;59;Yachtmaster;NS Mondego 619;container;18455;m;10512;136656
98;34312,39;05/04/2024;10/04/2024;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Rui Martins;36;Pilotage;MV Tejo 591;ro-ro;3540;h;2631;47358
99;45225,09;05/10/2024;08/10/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Filipe Ribeiro;54;Pilotage;MT Caravela 600;graneleiro;0;h;5;100
100;16682,43;02/03/2024;22/03/2024;Algeciras;Espanha;FigueiraDaFoz;Portugal;Sofia Nunes;49;CoC Class 1;MT Mondego 687;graneleiro;0;m;4;72
101;1531,04;19/01/2024;05/02/2024;Valencia;Espanha;FigueiraDaFoz;Portugal;Bruno Marques;60;Pilotage;MT Atlântico 834;graneleiro;0;h;8;160
102;18390,35;20/08/2024;08/09/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Manuel Ferreira;36;CoC Class 1;MT Lusitania 994;petroleiro;0;h;4;60
103;5080,94;18/01/2025;07/02/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Henrique Lopes;43;CoC Class 2;SS Guadiana 638;container;5986;h;3834;38340
104;11423,67;09/03/2024;12/03/2024;Génova;Itália;FigueiraDaFoz;Portugal;Maria Rodrigues;36;CoC Class 1;SS Minho 449;ro-ro;3038;m;2523;32799
105;27926,92;18/07/2025;03/08/2025;Génova;Itália;FigueiraDaFoz;Portugal;João Teixeira;38;STCW A-II/2;MT Nereida 566;cargueiro;0;h;8;128
106;18194,84;12/05/2024;15/05/2024;Algeciras;Espanha;FigueiraDaFoz;Portugal;Ricardo Pereira;47;CoC Class 2;SS Gaivota 956;container;9424;h;5680;90880
107;42011,23;10/08/2025;19/08/2025;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Teresa Nunes;34;CoC Class 2;NS Sagres 393;cargueiro;0;m;3;60
108;21878,48;09/09/2024;15/09/2024;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Rui Jesus;31;CoC Class 2;MT Nereida 290;petroleiro;0;h;3;48
109;41271,14;16/06/2024;26/06/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Beatriz Lopes;33;Yachtmaster;MT Mondego 566;graneleiro;0;m;6;114
110;26152,98;25/09/2025;27/09/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Cláudia Fernandes;29;STCW A-II/2;NS Açor 877;cargueiro;0;m;4;64
111;19339,27;25/02/2025;16/03/2025;Algeciras;Espanha;FigueiraDaFoz;Portugal;Bruno Nunes;32;Pilotage;NS Sagres 508;graneleiro;0;h;6;90
112;49314,05;07/12/2024;27/12/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Gonçalo Pinto;41;CoC Class 1;NS Lusitania 539;container;7994;h;5702;108338
113;35700,88;11/05/2024;15/05/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Pedro Marques;30;Pilotage;MV Gaivota 801;cargueiro;0;h;9;90
114;25138,63;20/03/2025;01/04/2025;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Catarina Alves;51;Pilotage;MT Atlântico 978;container;15985;m;13415;134150
115;3758,86;14/10/2025;01/11/2025;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Daniela Santos;52;Yachtmaster;SS Minho 233;container;4209;m;1865;27975
116;34370,93;20/04/2025;28/04/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Inês Pereira;25;CoC Class 2;MT Nereida 48;cargueiro;0;m;3;30
117;43561,36;13/12/2024;30/12/2024;Casablanca;Marrocos;FigueiraDaFoz;Portugal;Hugo Gonçalves;49;CoC Class 1;SS Açor 544;graneleiro;0;h;4;68
118;16811,63;26/04/2024;02/05/2024;Algeciras;Espanha;FigueiraDaFoz;Portugal;André Costa;56;STCW A-II/1;NS Açor 510;ro-ro;1952;h;1651;18161
119;13396,52;20/03/2024;31/03/2024;Cork;Irlanda;FigueiraDaFoz;Portugal;Ricardo Lopes;61;Pilotage;NS Tejo 683;petroleiro;0;h;3;39
120;35149,33;15/06/2025;03/07/2025;Vigo;Espanha;FigueiraDaFoz;Portugal;Mariana Carvalho;38;STCW A-II/2;NS Guadiana 602;container;10088;m;6406;115308
121;3226,87;15/09/2024;01/10/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Patrícia Lopes;47;CoC Class 1;NS Gaivota 110;cargueiro;0;m;3;57
122;3835,33;12/01/2024;22/01/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Bárbara Gonçalves;56;Yachtmaster;MT Nereida 850;petroleiro;0;m;3;57
123;17447,34;23/12/2024;04/01/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Ana Pinto;48;Pilotage;NS Minho 795;container;1167;m;426;4686
124;20025,15;01/05/2024;05/05/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Sara Rodrigues;50;Yachtmaster;SS Lusitania 926;petroleiro;0;m;7;140
125;4809;11/11/2024;29/11/2024;Huelva;Espanha;FigueiraDaFoz;Portugal;Cláudia Santos;52;Yachtmaster;SS Atlântida 932;petroleiro;0;m;4;56
126;35209,92;10/02/2024;14/02/2024;Tânger-Med;Marrocos;FigueiraDaFoz;Portugal;Teresa Costa;51;STCW A-II/2;MT Tejo 851;cargueiro;0;m;9;135
127;21149,13;24/05/2024;02/06/2024;Le Havre;França;FigueiraDaFoz;Portugal;Gabriela Sousa;57;Pilotage;MV Íris 987;petroleiro;0;m;3;33
128;7526,07;05/04/2025;21/04/2025;Cádiz;Espanha;FigueiraDaFoz;Portugal;Ricardo Alves;53;Yachtmaster;MV Atlântico 15;petroleiro;0;h;6;90
129;21415,31;30/06/2025;06/07/2025;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Manuel Gonçalves;42;Pilotage;NS Guadiana 111;petroleiro;0;h;5;100
130;43437,13;25/03/2025;04/04/2025;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Ana Teixeira;54;Yachtmaster;SS Atlântida 651;petroleiro;0;m;5;50
131;49376,53;05/01/2024;06/01/2024;Sines;Portugal;FigueiraDaFoz;Portugal;Teresa Pereira;25;STCW A-II/2;MV Minho 505;container;2693;m;821;16420
132;37729,34;25/06/2024;06/07/2024;Valencia;Espanha;FigueiraDaFoz;Portugal;Ricardo Carvalho;45;STCW A-II/2;NS Guadiana 687;graneleiro;0;h;8;160
133;2804,27;04/08/2024;21/08/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Bárbara Oliveira;37;CoC Class 2;NS Neptuno 962;container;18517;m;13686;246348
134;3762,4;25/05/2025;26/05/2025;Hamburgo;Alemanha;FigueiraDaFoz;Portugal;Diogo Rodrigues;45;CoC Class 2;SS Guadiana 102;graneleiro;0;h;5;100
135;49986,17;01/06/2025;18/06/2025;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Maria Alves;29;CoC Class 1;MV Íris 94;cargueiro;0;m;3;39
136;38096,98;12/03/2025;17/03/2025;Rotterdam;Países Baixos;FigueiraDaFoz;Portugal;Miguel Fernandes;61;STCW A-II/2;SS Atlântida 850;cargueiro;0;h;3;45
137;23076,66;23/03/2024;09/04/2024;Gdansk;Polónia;FigueiraDaFoz;Portugal;Artur Rodrigues;45;STCW A-II/2;SS Nereida 284;petroleiro;0;h;7;112
138;33913,33;01/01/2024;20/01/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Henrique Jesus;37;STCW A-II/2;MV Sagres 16;container;5044;h;2672;32064
139;25410,09;03/02/2024;11/02/2024;Nova Iorque;Estados Unidos;FigueiraDaFoz;Portugal;Artur Fernandes;50;STCW A-II/1;MT Poseidon 130;cargueiro;0;h;5;85
140;41002,9;13/03/2025;16/03/2025;Algeciras;Espanha;FigueiraDaFoz;Portugal;Rui Nunes;36;CoC Class 2;MV Íris 516;petroleiro;0;h;9;90
141;20770,66;23/08/2024;28/08/2024;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Gonçalo Sousa;54;CoC Class 2;MV Gaivota 868;container;5358;h;3488;59296
142;38001,73;15/09/2025;30/09/2025;Santos;Brasil;FigueiraDaFoz;Portugal;Inês Nunes;47;Pilotage;MV Atlântida 330;graneleiro;0;m;7;98
143;49042,67;31/07/2025;11/08/2025;Felixstowe;Reino Unido;FigueiraDaFoz;Portugal;Rui Oliveira;62;CoC Class 1;MT Atlântico 612;ro-ro;4959;h;2737;54740
144;20219,96;01/11/2024;03/11/2024;Antalya;Turquia;FigueiraDaFoz;Portugal;Cláudia Ribeiro;42;Yachtmaster;MV Lusitania 874;graneleiro;0;m;5;80
145;23094,61;10/03/2025;12/03/2025;Gdansk;Polónia;FigueiraDaFoz;Portugal;Paulo Lopes;62;STCW A-II/2;MT Íris 409;graneleiro;0;h;8;128
146;47526,51;30/11/2024;10/12/2024;Algeciras;Espanha;FigueiraDaFoz;Portugal;Bruno Marques;41;CoC Class 1;MT Sagres 704;petroleiro;0;h;7;91
147;38676,97;17/05/2024;03/06/2024;Génova;Itália;FigueiraDaFoz;Portugal;Rui Ferreira;34;STCW A-II/1;MV Guadiana 832;graneleiro;0;h;6;108
148;25138,29;09/03/2024;11/03/2024;Barcelona;Espanha;FigueiraDaFoz;Portugal;Artur Carvalho;30;Yachtmaster;MV Neptuno 363;petroleiro;0;h;6;66
149;4717,3;23/07/2024;03/08/2024;Algeciras;Espanha;FigueiraDaFoz;Portugal;Hugo Teixeira;35;CoC Class 1;MV Argonauta 159;petroleiro;0;h;6;78
150;20614,72;01/07/2024;17/07/2024;Génova;Itália;FigueiraDaFoz;Portugal;Tiago Gonçalves;55;Yachtmaster;MV Tejo 588;petroleiro;0;h;7;133
151;21171,4;03/06/2025;07/06/2025;Antuérpia;Bélgica;FigueiraDaFoz;Portugal;Daniela Teixeira;28;Yachtmaster;MV Tejo 30;ro-ro;1819;m;1575;18900
152;18033,34;13/07/2024;31/07/2024;Le Havre;França;FigueiraDaFoz;Portugal;Mariana Fernandes;43;CoC Class 1;SS Sagres 580;container;13391;m;10515;136695
